rera_id,project,developer,approval_date,micro_market,units,status
PRM/KA/RERA/1251/309/PR/181025/008181,Palm Acres III,Adarsh,2025-11-01,Bagaluru,196,Approved
PRM/KA/RERA/1250/303/PR/230623/006018,Aurum,Brigade,2023-07-01,Bagaluru,635,Approved
PRM/KA/RERA/1251/309/PR/160224/006634,El Dorado - Diora,Brigade,2024-02-01,Bagaluru,525,Approved
PRM/KA/RERA/1251/309/PR/160524/006878,El Dorado - Cobalt,Brigade,2024-05-01,Bagaluru,948,Approved
PRM/KA/RERA/1251/309/PR/190722/005089,Emerald & Luminaire - Luminaire,Brigade,2023-01-01,Bagaluru,250,Approved
PRM/KA/RERA/1251/309/PR/161023/006323,"Ananda III - TH,J, K & N",Godrej,2023-11-01,Bagaluru,1163,Approved
PRM/KA/RERA/1251/309/PR/260924/007084,"Living Tree - T1,2,5 & 6",Kalyani,2024-10-01,Bagaluru,1686,Approved
PRM/KA/RERA/1251/309/PR/210125/007402,Plumeria,Kumar,2025-03-01,Bagaluru,100,Approved
PRM/KA/RERA/1251/472/PR/050224/006611,North Park,MJR,2024-02-01,Bagaluru,354,Approved
PRM/KA/RERA/1251/472/PR/091024/007138,Rakshak,NVG,2024-10-01,Bagaluru,390,Approved
PRM/KA/RERA/1251/309/PR/311224/007334,Ecopolitan V,Puravankara,2024-12-01,Bagaluru,581,Approved
PRM/KA/RERA/1250/303/PR/220223/005741,Dev Enclave,Sri Sai Dev,2023-01-01,Bagaluru,152,Approved
