project,fy_label,quarter,period_start,spend_cr
Park Square,FY 18,1,2018-04-01,0.594
Park Square,FY 18,2,2018-07-01,2.0442
Park Square,FY 18,3,2018-10-01,2.9086
Park Square,FY 18,4,2019-01-01,3.4732
Park Square,FY 19,1,2019-04-01,1.5174
Park Square,FY 19,2,2019-07-01,1.1078
Park Square,FY 19,3,2019-10-01,0.8413
Park Square,FY 19,4,2020-01-01,0.6806
Park Square,FY 20,1,2020-04-01,-0.187
Park Square,FY 20,2,2020-07-01,1.1199
Park Square,FY 20,3,2020-10-01,0.8576
Park Square,FY 20,4,2021-01-01,1.1023
Park Square,FY 21,1,2021-04-01,0.321
Park Square,FY 21,2,2021-07-01,0.7259
Park Square,FY 21,3,2021-10-01,0.7536
Park Square,FY 21,4,2022-01-01,1.3154
Park Square,FY 22,1,2022-04-01,6.6867
Park Square,FY 22,2,2022-07-01,1.3119
Park Square,FY 22,3,2022-10-01,2.7112
Park Square,FY 22,4,2023-01-01,2.2047
Park Square,FY 23,1,2023-04-01,0.84
Park Square,FY 23,2,2023-07-01,1.0792
Park Square,FY 23,3,2023-10-01,0.9984
Park Square,FY 23,4,2024-01-01,2.6035
Park Square,FY 24,1,2024-04-01,4.3886
Park Square,FY 24,2,2024-07-01,2.0471
"Sunworth - Equinox (NPQR, KLM)",FY 18,1,2018-04-01,0.0
"Sunworth - Equinox (NPQR, KLM)",FY 18,2,2018-07-01,0.0
"Sunworth - Equinox (NPQR, KLM)",FY 18,3,2018-10-01,0.0
"Sunworth - Equinox (NPQR, KLM)",FY 18,4,2019-01-01,0.0
"Sunworth - Equinox (NPQR, KLM)",FY 19,1,2019-04-01,0.0794
"Sunworth - Equinox (NPQR, KLM)",FY 19,2,2019-07-01,0.594
"Sunworth - Equinox (NPQR, KLM)",FY 19,3,2019-10-01,1.9683
"Sunworth - Equinox (NPQR, KLM)",FY 19,4,2020-01-01,1.9939
"Sunworth - Equinox (NPQR, KLM)",FY 20,1,2020-04-01,0.2871
"Sunworth - Equinox (NPQR, KLM)",FY 20,2,2020-07-01,1.3464
"Sunworth - Equinox (NPQR, KLM)",FY 20,3,2020-10-01,1.9107
"Sunworth - Equinox (NPQR, KLM)",FY 20,4,2021-01-01,1.9803
"Sunworth - Equinox (NPQR, KLM)",FY 21,1,2021-04-01,0.2405
"Sunworth - Equinox (NPQR, KLM)",FY 21,2,2021-07-01,1.2541
"Sunworth - Equinox (NPQR, KLM)",FY 21,3,2021-10-01,1.9154
"Sunworth - Equinox (NPQR, KLM)",FY 21,4,2022-01-01,1.1906
"Sunworth - Equinox (NPQR, KLM)",FY 22,1,2022-04-01,0.7814
"Sunworth - Equinox (NPQR, KLM)",FY 22,2,2022-07-01,0.7314
"Sunworth - Equinox (NPQR, KLM)",FY 22,3,2022-10-01,1.3681
"Sunworth - Equinox (NPQR, KLM)",FY 22,4,2023-01-01,1.1447
"Sunworth - Equinox (NPQR, KLM)",FY 23,1,2023-04-01,1.448
"Sunworth - Equinox (NPQR, KLM)",FY 23,2,2023-07-01,0.982
"Sunworth - Equinox (NPQR, KLM)",FY 23,3,2023-10-01,0.727
"Sunworth - Equinox (NPQR, KLM)",FY 23,4,2024-01-01,1.3832
"Sunworth - Equinox (NPQR, KLM)",FY 24,1,2024-04-01,0.9523
"Sunworth - Equinox (NPQR, KLM)",FY 24,2,2024-07-01,0.3592
Sunworth - Future (GHJK),FY 18,1,2018-04-01,0.0
Sunworth - Future (GHJK),FY 18,2,2018-07-01,0.0
Sunworth - Future (GHJK),FY 18,3,2018-10-01,0.0
Sunworth - Future (GHJK),FY 18,4,2019-01-01,0.0
Sunworth - Future (GHJK),FY 21,1,2021-04-01,0.0
Sunworth - Future (GHJK),FY 21,2,2021-07-01,0.0
Sunworth - Future (GHJK),FY 21,3,2021-10-01,0.0
Sunworth - Future (GHJK),FY 21,4,2022-01-01,0.0
Sunworth - Future (GHJK),FY 23,1,2023-04-01,0.0603
Sunworth - Future (GHJK),FY 23,2,2023-07-01,0.0006
Sunworth - Future (GHJK),FY 23,3,2023-10-01,0.0
Sunworth - Future (GHJK),FY 23,4,2024-01-01,0.0
Sunworth - Future (GHJK),FY 24,1,2024-04-01,0.0578
Sunworth - Future (GHJK),FY 24,2,2024-07-01,0.0
Deansgate (1),FY 18,1,2018-04-01,0.0
Deansgate (1),FY 18,2,2018-07-01,0.0
Deansgate (1),FY 18,3,2018-10-01,0.0
Deansgate (1),FY 18,4,2019-01-01,0.0
Deansgate (1),FY 19,1,2019-04-01,0.0
Deansgate (1),FY 19,2,2019-07-01,0.0
Deansgate (1),FY 19,3,2019-10-01,0.0
Deansgate (1),FY 19,4,2020-01-01,0.0
Deansgate (1),FY 20,1,2020-04-01,0.0
Deansgate (1),FY 20,2,2020-07-01,0.0
Deansgate (1),FY 20,3,2020-10-01,0.0
Deansgate (1),FY 20,4,2021-01-01,0.0
Deansgate (1),FY 21,1,2021-04-01,0.0
Deansgate (1),FY 21,2,2021-07-01,0.0
Deansgate (1),FY 21,3,2021-10-01,0.0
Deansgate (1),FY 21,4,2022-01-01,0.0
Deansgate (1),FY 22,1,2022-04-01,0.0
Deansgate (1),FY 22,2,2022-07-01,0.0
Deansgate (1),FY 22,3,2022-10-01,0.0
Deansgate (1),FY 22,4,2023-01-01,0.2075
Deansgate (1),FY 23,1,2023-04-01,0.1579
Deansgate (1),FY 23,2,2023-07-01,1.5773
Deansgate (1),FY 23,3,2023-10-01,3.1016
Deansgate (1),FY 23,4,2024-01-01,1.9226
Deansgate (1),FY 24,1,2024-04-01,2.8636
Deansgate (1),FY 24,2,2024-07-01,1.6985
Ecopolitan (1),FY 18,1,2018-04-01,0.0
Ecopolitan (1),FY 18,2,2018-07-01,0.0
Ecopolitan (1),FY 18,3,2018-10-01,0.0
Ecopolitan (1),FY 18,4,2019-01-01,0.0
Ecopolitan (1),FY 19,1,2019-04-01,0.0
Ecopolitan (1),FY 19,2,2019-07-01,0.0
Ecopolitan (1),FY 19,3,2019-10-01,0.0
Ecopolitan (1),FY 19,4,2020-01-01,0.0
Ecopolitan (1),FY 20,1,2020-04-01,0.0
Ecopolitan (1),FY 20,2,2020-07-01,0.0
Ecopolitan (1),FY 20,3,2020-10-01,0.0
Ecopolitan (1),FY 20,4,2021-01-01,0.0
Ecopolitan (1),FY 21,1,2021-04-01,0.0
Ecopolitan (1),FY 21,2,2021-07-01,0.0
Ecopolitan (1),FY 21,3,2021-10-01,0.0
Ecopolitan (1),FY 21,4,2022-01-01,0.0
Ecopolitan (1),FY 22,1,2022-04-01,0.0
Ecopolitan (1),FY 22,2,2022-07-01,0.0
Ecopolitan (1),FY 22,3,2022-10-01,0.0
Ecopolitan (1),FY 22,4,2023-01-01,0.0
Ecopolitan (1),FY 23,1,2023-04-01,0.2018
Ecopolitan (1),FY 23,2,2023-07-01,2.7292
Ecopolitan (1),FY 23,3,2023-10-01,7.0026
Ecopolitan (1),FY 23,4,2024-01-01,7.8224
Ecopolitan (1),FY 24,1,2024-04-01,3.2439
Ecopolitan (1),FY 24,2,2024-07-01,2.1438
Winworth,FY 18,1,2018-04-01,0.0
Winworth,FY 18,2,2018-07-01,0.0
Winworth,FY 18,3,2018-10-01,0.0
Winworth,FY 18,4,2019-01-01,0.0
Winworth,FY 19,1,2019-04-01,0.0
Winworth,FY 19,2,2019-07-01,0.0
Winworth,FY 19,3,2019-10-01,0.0
Winworth,FY 19,4,2020-01-01,0.0
Winworth,FY 20,1,2020-04-01,0.0
Winworth,FY 20,2,2020-07-01,0.0
Winworth,FY 20,3,2020-10-01,0.0
Winworth,FY 20,4,2021-01-01,0.0
Winworth,FY 21,1,2021-04-01,0.0095
Winworth,FY 21,2,2021-07-01,0.0
Winworth,FY 21,3,2021-10-01,0.0355
Winworth,FY 21,4,2022-01-01,3.3849
Winworth,FY 22,1,2022-04-01,1.7967
Winworth,FY 22,2,2022-07-01,3.4793
Winworth,FY 22,3,2022-10-01,2.0447
Winworth,FY 22,4,2023-01-01,2.9202
Winworth,FY 23,1,2023-04-01,2.0211
Winworth,FY 23,2,2023-07-01,2.1076
Winworth,FY 23,3,2023-10-01,2.1058
Winworth,FY 23,4,2024-01-01,2.2799
Winworth,FY 24,1,2024-04-01,0.988
Winworth,FY 24,2,2024-07-01,1.2726
Adora De Goa (incl. owner share),FY 18,1,2018-04-01,3.5356
Adora De Goa (incl. owner share),FY 18,2,2018-07-01,6.9088
Adora De Goa (incl. owner share),FY 18,3,2018-10-01,1.863
Adora De Goa (incl. owner share),FY 18,4,2019-01-01,4.7156
Adora De Goa (incl. owner share),FY 19,1,2019-04-01,3.1594
Adora De Goa (incl. owner share),FY 19,2,2019-07-01,2.3562
Adora De Goa (incl. owner share),FY 19,3,2019-10-01,2.22
Adora De Goa (incl. owner share),FY 19,4,2020-01-01,1.3337
Adora De Goa (incl. owner share),FY 20,1,2020-04-01,0.5245
Adora De Goa (incl. owner share),FY 20,2,2020-07-01,0.8243
Adora De Goa (incl. owner share),FY 20,3,2020-10-01,0.6197
Adora De Goa (incl. owner share),FY 20,4,2021-01-01,0.6548
Adora De Goa (incl. owner share),FY 21,1,2021-04-01,0.2971
Adora De Goa (incl. owner share),FY 21,2,2021-07-01,0.4779
Adora De Goa (incl. owner share),FY 21,3,2021-10-01,1.0152
Adora De Goa (incl. owner share),FY 21,4,2022-01-01,0.8012
Adora De Goa (incl. owner share),FY 22,1,2022-04-01,0.5515
Adora De Goa (incl. owner share),FY 22,2,2022-07-01,0.8904
Adora De Goa (incl. owner share),FY 22,3,2022-10-01,1.0423
Adora De Goa (incl. owner share),FY 22,4,2023-01-01,1.0403
Adora De Goa (incl. owner share),FY 23,1,2023-04-01,0.5843
Adora De Goa (incl. owner share),FY 23,2,2023-07-01,0.5488
Adora De Goa (incl. owner share),FY 23,3,2023-10-01,0.9393
Adora De Goa (incl. owner share),FY 23,4,2024-01-01,1.3289
Adora De Goa (incl. owner share),FY 24,1,2024-04-01,1.173
Adora De Goa (incl. owner share),FY 24,2,2024-07-01,0.804
Neora,FY 18,1,2018-04-01,0.0
Neora,FY 18,2,2018-07-01,0.0463
Neora,FY 18,3,2018-10-01,1.6209
Neora,FY 18,4,2019-01-01,2.0354
Neora,FY 19,1,2019-04-01,0.8382
Neora,FY 19,2,2019-07-01,0.5946
Neora,FY 19,3,2019-10-01,0.6251
Neora,FY 19,4,2020-01-01,0.4917
Neora,FY 20,1,2020-04-01,0.2494
Neora,FY 20,2,2020-07-01,0.2936
Neora,FY 20,3,2020-10-01,0.4354
Neora,FY 20,4,2021-01-01,0.5895
Neora,FY 21,1,2021-04-01,0.049
Neora,FY 21,2,2021-07-01,0.3032
Neora,FY 21,3,2021-10-01,0.3624
Neora,FY 21,4,2022-01-01,0.4666
Neora,FY 22,1,2022-04-01,0.1206
Neora,FY 22,2,2022-07-01,0.1045
Neora,FY 22,3,2022-10-01,0.3726
Neora,FY 22,4,2023-01-01,0.1816
Neora,FY 23,1,2023-04-01,0.1618
Neora,FY 23,2,2023-07-01,0.1818
Neora,FY 23,3,2023-10-01,0.1349
Neora,FY 23,4,2024-01-01,0.0632
Neora,FY 24,1,2024-04-01,0.2463
Neora,FY 24,2,2024-07-01,0.2506
Capella (inc LO),FY 18,1,2018-04-01,0.0
Capella (inc LO),FY 18,2,2018-07-01,0.0
Capella (inc LO),FY 18,3,2018-10-01,0.0
Capella (inc LO),FY 18,4,2019-01-01,0.0
Capella (inc LO),FY 19,1,2019-04-01,0.0401
Capella (inc LO),FY 19,2,2019-07-01,0.5458
Capella (inc LO),FY 19,3,2019-10-01,2.5243
Capella (inc LO),FY 19,4,2020-01-01,2.4199
Capella (inc LO),FY 20,1,2020-04-01,0.3051
Capella (inc LO),FY 20,2,2020-07-01,0.6257
Capella (inc LO),FY 20,3,2020-10-01,1.0781
Capella (inc LO),FY 20,4,2021-01-01,2.0121
Capella (inc LO),FY 21,1,2021-04-01,0.2171
Capella (inc LO),FY 21,2,2021-07-01,1.3287
Capella (inc LO),FY 21,3,2021-10-01,1.6556
Capella (inc LO),FY 21,4,2022-01-01,1.2875
Capella (inc LO),FY 22,1,2022-04-01,0.8072
Capella (inc LO),FY 22,2,2022-07-01,0.7192
Capella (inc LO),FY 22,3,2022-10-01,1.2455
